"filename", "language", "YAML", "JavaScript", "XML", "JavaScript JSX", "Rust", "PostCSS", "Diff", "HTML", "Ignore", "JSON", "comment", "blank", "total"
"d:\github\cyclemetry-reloaded\src-tauri\ovrley_core\src\render\widgets\gauges\arc\path.rs", "Rust", 0, 0, 0, 0, 488, 0, 0, 0, 0, 0, 37, 40, 565
"d:\github\cyclemetry-reloaded\src-tauri\ovrley_core\src\render\widgets\gauges\labels.rs", "Rust", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 3, 2, 12
"d:\github\cyclemetry-reloaded\src-tauri\ovrley_core\src\render\widgets\gauges\linear\mod.rs", "Rust", 0, 0, 0, 0, 477, 0, 0, 0, 0, 0, 15, 34, 526
"d:\github\cyclemetry-reloaded\src-tauri\ovrley_core\src\render\widgets\gauges\mod.rs", "Rust", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 5, 2, 11
"d:\github\cyclemetry-reloaded\src-tauri\ovrley_core\src\render\widgets\gauges\range.rs", "Rust", 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 3, 5, 61
"d:\github\cyclemetry-reloaded\src-tauri\ovrley_core\src\render\widgets\geometry.rs", "Rust", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 12, 2, 17
"d:\github\cyclemetry-reloaded\src-tauri\ovrley_core\src\render\widgets\heading\draw.rs", "Rust", 0, 0, 0, 0, 182, 0, 0, 0, 0, 0, 22, 20, 224
"d:\github\cyclemetry-reloaded\src-tauri\ovrley_core\src\render\widgets\heading\geometry.rs", "Rust", 0, 0, 0, 0, 299, 0, 0, 0, 0, 0, 63, 36, 398
"d:\github\cyclemetry-reloaded\src-tauri\ovrley_core\src\render\widgets\heading\mod.rs", "Rust", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 10, 3, 18
"d:\github\cyclemetry-reloaded\src-tauri\ovrley_core\src\render\widgets\heading\prepare.rs", "Rust", 0, 0, 0, 0, 213, 0, 0, 0, 0, 0, 20, 28, 261
"d:\github\cyclemetry-reloaded\src-tauri\ovrley_core\src\render\widgets\marker.rs", "Rust", 0, 0, 0, 0, 84, 0, 0, 0, 0, 0, 18, 8, 110
"d:\github\cyclemetry-reloaded\src-tauri\ovrley_core\src\render\widgets\metric_presentation.rs", "Rust", 0, 0, 0, 0, 103, 0, 0, 0, 0, 0, 35, 10, 148
"d:\github\cyclemetry-reloaded\src-tauri\ovrley_core\src\render\widgets\mod.rs", "Rust", 0, 0, 0, 0, 118, 0, 0, 0, 0, 0, 30, 11, 159
"d:\github\cyclemetry-reloaded\src-tauri\ovrley_core\src\render\widgets\polyline.rs", "Rust", 0, 0, 0, 0, 72, 0, 0, 0, 0, 0, 16, 7, 95
"d:\github\cyclemetry-reloaded\src-tauri\ovrley_core\src\render\widgets\route\draw.rs", "Rust", 0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 5, 5, 67
"d:\github\cyclemetry-reloaded\src-tauri\ovrley_core\src\render\widgets\route\frame_state.rs", "Rust", 0, 0, 0, 0, 105, 0, 0, 0, 0, 0, 15, 5, 125
"d:\github\cyclemetry-reloaded\src-tauri\ovrley_core\src\render\widgets\route\mod.rs", "Rust", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 13, 3, 25
"d:\github\cyclemetry-reloaded\src-tauri\ovrley_core\src\render\widgets\route\normalize.rs", "Rust", 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 4, 3, 47
"d:\github\cyclemetry-reloaded\src-tauri\ovrley_core\src\render\widgets\route\prepare.rs", "Rust", 0, 0, 0, 0, 275, 0, 0, 0, 0, 0, 22, 18, 315
"d:\github\cyclemetry-reloaded\src-tauri\ovrley_core\src\render\widgets\route\simplify.rs", "Rust", 0, 0, 0, 0, 63, 0, 0, 0, 0, 0, 11, 12, 86
"d:\github\cyclemetry-reloaded\src-tauri\ovrley_core\src\render\widgets\tests\elevation_frame_state_tests.rs", "Rust", 0, 0, 0, 0, 287, 0, 0, 0, 0, 0, 35, 27, 349
"d:\github\cyclemetry-reloaded\src-tauri\ovrley_core\src\render\widgets\tests\elevation_geometry_tests.rs", "Rust", 0, 0, 0, 0, 110, 0, 0, 0, 0, 0, 21, 12, 143
"d:\github\cyclemetry-reloaded\src-tauri\ovrley_core\src\render\widgets\tests\elevation_reduction_tests.rs", "Rust", 0, 0, 0, 0, 88, 0, 0, 0, 0, 0, 30, 14, 132
"d:\github\cyclemetry-reloaded\src-tauri\ovrley_core\src\render\widgets\tests\mod.rs", "Rust", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 13, 2, 20
"d:\github\cyclemetry-reloaded\src-tauri\ovrley_core\src\render\widgets\tests\rdp_elevation_tests.rs", "Rust", 0, 0, 0, 0, 71, 0, 0, 0, 0, 0, 22, 9, 102
"d:\github\cyclemetry-reloaded\src-tauri\ovrley_core\src\render\widgets\tests\rdp_route_tests.rs", "Rust", 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 20, 8, 78
"d:\github\cyclemetry-reloaded\src-tauri\ovrley_core\src\render\widgets\transform.rs", "Rust", 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 16, 4, 61
