"filename", "language", "JavaScript", "Rust", "YAML", "JavaScript JSX", "JSON", "Ignore", "PostCSS", "Diff", "XML", "HTML", "comment", "blank", "total"
"h:\tools\cyclemetry\app\src\features\render-video\hooks\useRenderVideoDerivedState.js", "JavaScript", 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 6, 97
"h:\tools\cyclemetry\app\src\features\render-video\hooks\useRenderVideoDialogState.js", "JavaScript", 215, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 31, 262
"h:\tools\cyclemetry\app\src\features\render-video\hooks\useRenderWorkflow.js", "JavaScript", 306, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 30, 351
"h:\tools\cyclemetry\app\src\features\render-video\index.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 2, 10
"h:\tools\cyclemetry\app\src\features\render-video\utils\codecUtils.js", "JavaScript", 135, 0, 0, 0, 0, 0, 0, 0, 0, 0, 89, 34, 258
"h:\tools\cyclemetry\app\src\features\render-video\utils\render-execution.js", "JavaScript", 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 9, 115
"h:\tools\cyclemetry\app\src\features\render-video\utils\render-video.js", "JavaScript", 99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 14, 126
"h:\tools\cyclemetry\app\src\features\render-video\utils\renderConfig.js", "JavaScript", 137, 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 26, 225
"h:\tools\cyclemetry\app\src\features\scene-settings\components\GlobalSettingsSection.jsx", "JavaScript JSX", 0, 0, 0, 157, 0, 0, 0, 0, 0, 0, 13, 7, 177
"h:\tools\cyclemetry\app\src\features\scene-settings\components\OverlaySettingsSection.jsx", "JavaScript JSX", 0, 0, 0, 149, 0, 0, 0, 0, 0, 0, 24, 9, 182
"h:\tools\cyclemetry\app\src\features\scene-settings\components\SidebarSettingsTab.jsx", "JavaScript JSX", 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 13, 6, 79
"h:\tools\cyclemetry\app\src\features\scene-settings\components\VideoSyncSection.jsx", "JavaScript JSX", 0, 0, 0, 121, 0, 0, 0, 0, 0, 0, 31, 5, 157
"h:\tools\cyclemetry\app\src\features\scene-settings\data\sceneSettingsConstants.js", "JavaScript", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 36
"h:\tools\cyclemetry\app\src\features\scene-settings\hooks\useAvailableFonts.js", "JavaScript", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9, 47
"h:\tools\cyclemetry\app\src\features\scene-settings\hooks\useSceneSettingsState.js", "JavaScript", 194, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 23, 233
"h:\tools\cyclemetry\app\src\features\scene-settings\index.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 2, 12
